Area,Stop,X-coordinates,Y-coordinates
AT1,0,N52° 45.414' ,E10° 16.281'
AT1,100,N52° 45.393' ,E10° 16.199'
AT1,200,N52° 45.442' ,E10° 16.180'
AT1,300,N52° 45.495' ,E10° 16.184'
AT1,400,N52° 45.535' ,E10° 16.195'
AT1,500,N52° 45.586' ,E10° 16.218'
AT1,600,N52° 45.548', E10° 16.245'
AT1,700,N52° 45.490' ,E10° 16.262'
AT1,800,N52° 45.447' ,E10° 16.275'
AT1,900,N52° 45.396' ,E10° 16.293'
AT1,1000,N52° 45.386', E10° 16.243'
DS1 (am Randkanal),0,"52°32'37,078""N ","8°19'32,869""E "
DS1,200,"52°32'39,112""N ","8°19'42,483""E"
DS1,400,"52°32'43,976""N ","8°19'49,81""E "
DS1,600,"52°32'44,282""N ","8°19'49,78""E"
DS1,800,"52°32'45,804""N ","8°20'10,765""E"
DS1,1000,"52°32'46,497""N ","8°20'21,515""E"
DS2 (an der Hunte),0,"52°33'36,819""N ","8°20'33,573""E"
DS2,200,"52°33'42,569""N","8°20'28,426""E "
DS2,400,"52°33'48,223""N ","8°20'23,601""E"
DS2,600,"52°33'54,571""N ","8°20'25,253""E"
DS2,800,"52°34'0,9""N ","8°20'26,403""E"
DS2,1000,"52°34'6,968""N ","8°20'24,558""E"
